Project ID,Project Name,Number,Street,Borough,Council District,Latitude (Internal),Longitude (Internal),Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,All Counted Units,Total Units
51301,BRKG GND. 626 BERGEN AVE. LA CENTRAL,626,BERGEN AVENUE,Bronx,17,,,No,Prevailing Wage,97,0,161,161
51868,LEXINGTON GARDENS II,1465,PARK AVENUE,Manhattan,8,40.79372541,-73.94672272,No,Non Prevailing Wage,80,119,400,400
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,2051,2 AVENUE,Manhattan,8,40.79029275,-73.94307078,No,Non Prevailing Wage,0,8,9,9
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,103,EAST 100 STREET,Manhattan,8,40.78912406,-73.95022573,No,Non Prevailing Wage,1,4,9,9
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,107,EAST 100 STREET,Manhattan,8,40.78905812,-73.95006688,No,Non Prevailing Wage,10,4,17,17
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,111,EAST 100 STREET,Manhattan,8,40.78897016,-73.9497636,No,Non Prevailing Wage,10,17,51,51
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,119,EAST 100 STREET,Manhattan,8,40.7888685,-73.94952172,No,Non Prevailing Wage,7,9,20,20
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,177,EAST 101 STREET,Manhattan,8,40.7888264,-73.94746333,No,Non Prevailing Wage,1,14,38,38
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,178,EAST 101 STREET,Manhattan,8,40.78867582,-73.94828682,No,Non Prevailing Wage,0,5,10,10
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,114,EAST 102 STREET,Manhattan,8,40.78982896,-73.9490768,No,Non Prevailing Wage,1,6,9,9
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,116,EAST 102 STREET,Manhattan,8,40.78979598,-73.94899738,No,Non Prevailing Wage,2,5,9,9
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,21,EAST 104 STREET,Manhattan,8,40.7928051,-73.95106084,No,Non Prevailing Wage,6,20,36,36
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,29,EAST 104 STREET,Manhattan,8,40.79267322,-73.95074313,No,Non Prevailing Wage,9,16,34,34
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,242,EAST 106 STREET,Manhattan,8,40.7905837,-73.94308137,No,Non Prevailing Wage,0,5,7,7
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,332,EAST 106 STREET,Manhattan,8,40.78983624,-73.94130524,No,Non Prevailing Wage,0,2,4,4
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,441,EAST 116 STREET,Manhattan,8,40.79558506,-73.93368324,No,Non Prevailing Wage,1,9,30,30
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,447,EAST 116 STREET,Manhattan,8,40.7955136,-73.93351718,No,Non Prevailing Wage,0,5,11,11
59474,LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,453,EAST 117 STREET,Manhattan,8,40.79612539,-73.93302177,No,Non Prevailing Wage,0,5,9,9
